category,evaluation_type,alpha,sparse_score,dense_score,hybrid_score,context_recall,context_precision,f1_score
형사,hybrid,0.3,0.5311173010894441,0.5373709201812744,0.5354948344537253,0.0,0.0,0.0
형사,hybrid,0.4,0.5311173010894441,0.5373709201812744,0.5348694725445423,0.0,0.0,0.0
형사,hybrid,0.5,0.5311173010894441,0.5373709201812744,0.5342441106353593,0.0,0.0,0.0
형사,hybrid,0.6,0.5311173010894441,0.5373709201812744,0.5336187487261762,0.0,0.0,0.0
형사,hybrid,0.7,0.5311173010894441,0.5373709201812744,0.5329933868169932,0.0,0.0,0.0
형사,sparse,1.0,0.5311173010894441,0.0,0.5311173010894441,0.0,0.0,0.0
형사,dense,0.0,0.0,0.5373709201812744,0.5373709201812744,0.0,0.0,0.0
형사,hybrid,0.3,0.6057307490885342,0.575634241104126,0.5846631934994484,0.0,0.0,0.0
형사,hybrid,0.4,0.6057307490885342,0.575634241104126,0.5876728442978892,0.0,0.0,0.0
형사,hybrid,0.5,0.6057307490885342,0.575634241104126,0.5906824950963301,0.0,0.0,0.0
형사,hybrid,0.6,0.6057307490885342,0.575634241104126,0.5936921458947708,0.0,0.0,0.0
형사,hybrid,0.7,0.6057307490885342,0.575634241104126,0.5967017966932118,0.0,0.0,0.0
형사,sparse,1.0,0.6057307490885342,0.0,0.6057307490885342,0.0,0.0,0.0
형사,dense,0.0,0.0,0.575634241104126,0.575634241104126,0.0,0.0,0.0
형사,hybrid,0.3,0.6532649016632278,0.6631987690925598,0.6602186088637602,0.0,0.0,0.0
형사,hybrid,0.4,0.6532649016632278,0.6631987690925598,0.659225222120827,0.0,0.0,0.0
형사,hybrid,0.5,0.6532649016632278,0.6631987690925598,0.6582318353778938,0.0,0.0,0.0
형사,hybrid,0.6,0.6532649016632278,0.6631987690925598,0.6572384486349606,0.0,0.0,0.0
형사,hybrid,0.7,0.6532649016632278,0.6631987690925598,0.6562450618920275,0.0,0.0,0.0
형사,sparse,1.0,0.6532649016632278,0.0,0.6532649016632278,0.0,0.0,0.0
형사,dense,0.0,0.0,0.6631987690925598,0.6631987690925598,0.0,0.0,0.0
형사,hybrid,0.3,0.5704870080325106,0.5476230382919312,0.554482229214105,0.0,0.0,0.0
형사,hybrid,0.4,0.5704870080325106,0.5476230382919312,0.5567686261881629,0.0,0.0,0.0
형사,hybrid,0.5,0.5704870080325106,0.5476230382919312,0.5590550231622209,0.0,0.0,0.0
형사,hybrid,0.6,0.5704870080325106,0.5476230382919312,0.5613414201362787,0.0,0.0,0.0
형사,hybrid,0.7,0.5704870080325106,0.5476230382919312,0.5636278171103368,0.0,0.0,0.0
형사,sparse,1.0,0.5704870080325106,0.0,0.5704870080325106,0.0,0.0,0.0
형사,dense,0.0,0.0,0.5476230382919312,0.5476230382919312,0.0,0.0,0.0
형사,hybrid,0.3,0.5652226912325397,0.5575788021087646,0.5598719688458972,0.0,0.0,0.0
형사,hybrid,0.4,0.5652226912325397,0.5575788021087646,0.5606363577582747,0.0,0.0,0.0
형사,hybrid,0.5,0.5652226912325397,0.5575788021087646,0.5614007466706521,0.0,0.0,0.0
형사,hybrid,0.6,0.5652226912325397,0.5575788021087646,0.5621651355830297,0.0,0.0,0.0
형사,hybrid,0.7,0.5652226912325397,0.5575788021087646,0.5629295244954071,0.0,0.0,0.0
형사,sparse,1.0,0.5652226912325397,0.0,0.5652226912325397,0.0,0.0,0.0
형사,dense,0.0,0.0,0.5575788021087646,0.5575788021087646,0.0,0.0,0.0
형사,hybrid,0.3,0.5464454632052594,0.5153611898422241,0.5246864718511347,0.0,0.0,0.0
형사,hybrid,0.4,0.5464454632052594,0.5153611898422241,0.5277948991874383,0.0,0.0,0.0
형사,hybrid,0.5,0.5464454632052594,0.5153611898422241,0.5309033265237417,0.0,0.0,0.0
형사,hybrid,0.6,0.5464454632052594,0.5153611898422241,0.5340117538600453,0.0,0.0,0.0
형사,hybrid,0.7,0.5464454632052594,0.5153611898422241,0.5371201811963489,0.0,0.0,0.0
형사,sparse,1.0,0.5464454632052594,0.0,0.5464454632052594,0.0,0.0,0.0
형사,dense,0.0,0.0,0.5153611898422241,0.5153611898422241,0.0,0.0,0.0
형사,hybrid,0.3,0.5396004403678906,0.5534110069274902,0.5492678369596102,0.0,0.0,0.0
형사,hybrid,0.4,0.5396004403678906,0.5534110069274902,0.5478867803036503,0.0,0.0,0.0
